Materiale,Modulo_Young_MPa,Snervamento_MPa,Spessore_mm,Cava_V_mm,Raggio_Punzone_mm,Raggio_Matrice_mm,Angolo_Desiderato_deg,Corsa_Punzione_mm
Alluminio_6061_T6,69090.2,256.7,2.6,20,3.0,2.0,121.8,4.49
Alluminio_5052_H32,70275.9,183.7,5.9,50,0.8,1.5,136.18,9.514
Alluminio_5052_H32,70458.8,183.4,4.6,40,3.0,2.0,134.38,7.663
Alluminio_6061_T6,69099.1,259.1,7.1,60,2.0,1.0,98.03,22.81
Acciaio_Inox_304,186741.6,279.5,3.7,32,1.5,1.0,124.54,7.462
Alluminio_6061_T6,68716.2,286.6,2.0,16,1.0,1.0,122.02,3.923
Acciaio_Mite_S235,209851.1,228.9,2.5,20,4.0,2.0,132.3,3.696
Alluminio_5052_H32,69575.6,191.4,2.8,24,1.0,2.0,90.44,9.574
Alluminio_6061_T6,71414.1,274.8,3.4,24,3.0,1.5,154.43,2.509
Alluminio_5052_H32,70313.5,203.8,5.5,40,3.0,1.5,129.15,8.432
Alluminio_6061_T6,68100.4,300.6,2.8,24,2.0,3.0,141.22,3.762
Acciaio_Mite_S235,214630.1,236.8,3.4,24,4.0,1.0,96.17,8.0
Alluminio_5052_H32,68042.5,192.2,2.9,24,0.8,2.0,89.26,9.71
Acciaio_Mite_S235,217208.3,232.2,5.2,40,4.0,1.5,128.02,8.589
Acciaio_Inox_304,192812.7,284.4,5.6,40,1.5,2.0,132.13,7.865
Acciaio_Inox_304,195445.2,272.7,6.9,60,1.0,3.0,116.92,16.497
Acciaio_Mite_S235,207606.8,241.5,3.3,24,3.0,1.0,127.11,5.171
Alluminio_6061_T6,69700.4,283.8,6.1,50,1.5,2.0,123.23,12.203
Acciaio_Inox_304,190112.5,282.7,1.9,16,3.0,1.5,108.92,4.185
Alluminio_5052_H32,68797.9,202.2,7.3,60,4.0,1.0,148.22,7.991
Acciaio_Inox_304,189471.0,297.8,5.4,40,4.0,3.0,142.51,6.023
Acciaio_Inox_304,186899.5,264.5,3.5,24,1.0,1.0,115.95,6.386
Alluminio_6061_T6,69742.2,272.6,2.9,24,0.8,2.0,123.88,5.691
Alluminio_5052_H32,69851.0,198.7,4.8,40,1.0,2.0,127.2,8.862
Acciaio_Inox_304,188270.2,285.4,7.2,60,1.5,1.0,148.82,7.953
Alluminio_6061_T6,69245.2,263.5,7.1,60,1.5,2.0,126.96,13.678
Alluminio_6061_T6,68634.9,279.8,2.6,20,1.5,3.0,145.72,2.703
Acciaio_Mite_S235,210695.2,238.2,4.2,32,1.0,1.0,140.0,5.521
Alluminio_6061_T6,66330.8,284.2,3.4,24,0.8,2.0,147.29,3.287
Acciaio_Mite_S235,209112.2,222.6,6.7,50,0.8,2.0,127.65,11.141
Acciaio_Mite_S235,208439.4,224.0,1.0,8,0.8,1.5,157.28,0.711
Acciaio_Mite_S235,215300.3,253.6,4.9,40,3.0,2.0,149.12,5.169
Acciaio_Mite_S235,212168.4,230.3,5.7,50,3.0,2.0,157.12,4.817
Alluminio_5052_H32,69409.0,186.9,1.3,10,1.0,1.0,83.92,4.003
Acciaio_Inox_304,190576.0,292.1,1.5,12,2.0,3.0,153.64,1.143
Acciaio_Inox_304,190119.0,289.0,7.0,60,2.0,1.0,96.57,23.382
Acciaio_Inox_304,196483.0,307.5,2.0,16,0.8,2.0,101.37,5.085
Alluminio_5052_H32,70801.5,189.1,1.9,16,1.5,3.0,93.46,5.138
Acciaio_Inox_304,193960.4,303.9,3.7,32,0.8,3.0,95.11,11.892
Acciaio_Mite_S235,216679.2,226.8,7.2,60,1.0,3.0,92.59,24.323
Acciaio_Mite_S235,216053.9,251.2,3.1,24,1.5,3.0,128.46,4.876
Alluminio_6061_T6,71227.4,275.5,7.9,60,1.5,1.0,101.74,21.277
Acciaio_Inox_304,193965.3,278.6,4.8,40,0.8,2.0,112.01,11.949
Acciaio_Mite_S235,213883.7,240.3,7.7,60,1.5,3.0,140.15,9.965
Acciaio_Mite_S235,208838.0,239.4,6.9,60,1.5,3.0,135.91,11.148
Alluminio_6061_T6,69903.1,268.9,4.8,40,1.0,2.0,88.31,17.313
Alluminio_5052_H32,69863.3,207.3,7.9,60,2.0,2.0,158.51,5.558
Acciaio_Inox_304,191104.5,299.3,3.5,24,1.0,3.0,150.48,3.0
Alluminio_6061_T6,67431.4,273.3,3.6,32,2.0,1.5,124.75,7.539
Alluminio_5052_H32,69335.5,193.8,4.3,32,4.0,1.5,111.67,8.828
Alluminio_6061_T6,71346.1,290.0,2.5,20,3.0,2.0,114.11,5.083
Acciaio_Mite_S235,212319.7,249.9,6.0,50,2.0,1.5,103.99,17.081
Acciaio_Mite_S235,208151.9,220.1,3.5,24,3.0,1.5,102.72,7.497
Alluminio_6061_T6,69578.9,255.3,1.7,12,0.8,3.0,130.53,2.113
Acciaio_Mite_S235,207427.2,235.2,5.5,40,1.0,1.0,120.23,10.261
Acciaio_Inox_304,197229.3,280.2,2.5,20,4.0,3.0,80.45,6.613
Alluminio_5052_H32,68701.8,188.9,3.3,24,4.0,1.5,83.89,8.946
Alluminio_5052_H32,67911.6,204.8,7.4,60,1.5,1.5,120.59,15.499
Acciaio_Inox_304,193260.8,290.7,6.9,60,4.0,3.0,159.72,5.213
Acciaio_Mite_S235,211452.1,217.2,2.3,20,2.0,1.5,114.98,5.362
Alluminio_5052_H32,72915.0,196.0,2.7,20,1.5,3.0,134.24,3.761
Acciaio_Inox_304,193590.6,280.5,2.7,20,4.0,1.0,131.15,3.842
Alluminio_5052_H32,71158.4,182.5,6.6,50,1.0,1.0,150.83,6.259
Alluminio_6061_T6,69209.2,259.1,2.7,20,3.0,3.0,124.6,4.082
Acciaio_Mite_S235,213860.5,232.9,5.5,40,3.0,2.0,87.91,16.052
Acciaio_Mite_S235,211017.3,251.3,2.5,20,1.5,2.0,128.27,4.152
Acciaio_Mite_S235,213193.1,245.1,2.7,20,0.8,2.0,111.21,5.684
Alluminio_5052_H32,70371.4,220.5,2.1,16,1.0,2.0,152.28,1.759
Acciaio_Mite_S235,207945.0,222.8,4.8,40,2.0,1.0,156.84,3.754
Alluminio_5052_H32,67907.3,207.2,2.8,24,4.0,2.0,145.19,3.412
Alluminio_6061_T6,67761.1,288.3,3.5,24,4.0,3.0,103.58,6.683
Alluminio_5052_H32,72371.7,183.2,7.0,60,1.0,3.0,105.67,20.0
Acciaio_Mite_S235,202473.0,229.9,3.8,32,4.0,2.0,156.84,3.109
Acciaio_Inox_304,194820.4,306.4,5.4,40,1.5,1.0,146.02,5.797
Acciaio_Mite_S235,206167.5,220.2,7.7,60,1.5,1.5,149.33,7.794
Alluminio_6061_T6,68000.5,258.8,3.6,32,4.0,2.0,92.84,11.559
Alluminio_5052_H32,71014.6,201.4,2.8,24,2.0,2.0,110.93,6.663
Acciaio_Mite_S235,209992.2,214.1,3.2,24,3.0,2.0,80.89,9.598
Alluminio_5052_H32,69087.4,206.8,3.5,24,4.0,1.5,87.06,8.426
Acciaio_Inox_304,192636.1,314.6,7.8,60,3.0,3.0,131.13,12.297
Alluminio_5052_H32,71022.7,215.7,4.3,32,1.0,1.5,120.29,8.161
Alluminio_6061_T6,68643.3,304.0,2.7,20,3.0,1.0,138.07,3.371
Alluminio_6061_T6,69218.7,263.1,6.5,50,1.0,3.0,86.4,21.752
Acciaio_Mite_S235,206618.3,246.1,7.2,60,4.0,3.0,149.78,7.53
Acciaio_Inox_304,190273.3,309.1,1.8,16,4.0,2.0,101.73,4.366
Acciaio_Inox_304,199836.4,305.6,6.5,50,1.5,1.5,115.6,14.086
Acciaio_Mite_S235,209468.4,242.1,2.6,20,0.8,2.0,149.56,2.522
Acciaio_Mite_S235,209520.5,230.8,4.8,40,2.0,2.0,107.1,12.698
Alluminio_5052_H32,70431.4,206.4,6.1,50,3.0,1.5,144.72,7.363
Acciaio_Inox_304,186670.4,286.7,6.7,50,2.0,1.0,81.68,23.765
Alluminio_5052_H32,69057.9,183.9,6.1,50,1.5,1.5,113.18,14.561
Alluminio_5052_H32,71222.7,190.4,1.4,12,4.0,1.5,98.52,3.04
Alluminio_5052_H32,70707.1,186.2,3.5,24,0.8,2.0,151.89,3.017
Alluminio_6061_T6,68631.1,276.1,4.1,32,2.0,3.0,151.27,3.809
Acciaio_Inox_304,199749.7,295.6,3.9,32,4.0,1.5,128.66,6.679
Acciaio_Inox_304,193108.4,286.1,1.9,16,2.0,2.0,90.98,5.462
Alluminio_6061_T6,69597.9,283.7,2.7,20,2.0,2.0,116.05,4.974
Alluminio_5052_H32,69992.5,198.5,6.7,50,1.0,3.0,148.97,6.513
Alluminio_6061_T6,69647.4,265.1,3.2,24,4.0,1.5,152.88,2.603
Acciaio_Mite_S235,205162.9,236.5,4.5,32,1.0,2.0,104.62,10.226
Alluminio_6061_T6,71503.5,274.4,6.0,50,2.0,1.0,158.76,4.444
Alluminio_6061_T6,70504.2,279.8,3.9,32,4.0,2.0,137.0,5.461
Acciaio_Mite_S235,211881.4,243.3,5.2,40,3.0,2.0,124.23,9.189
Alluminio_5052_H32,67853.9,183.0,5.9,50,1.0,1.5,155.59,5.243
Acciaio_Mite_S235,208945.2,239.8,5.7,50,0.8,3.0,95.38,19.44
Alluminio_6061_T6,69187.2,280.7,3.3,24,4.0,1.5,85.41,8.77
Alluminio_6061_T6,70921.1,296.3,3.8,32,1.0,1.5,106.76,10.422
Acciaio_Mite_S235,215028.8,223.2,2.1,16,1.0,1.5,122.36,3.808
Alluminio_5052_H32,66314.6,196.7,7.6,60,1.5,3.0,97.62,22.244
Acciaio_Inox_304,188489.7,294.9,6.1,50,2.0,1.5,80.21,24.396
Acciaio_Inox_304,192137.6,294.8,5.7,50,1.5,2.0,85.05,22.972
Acciaio_Inox_304,187869.9,281.5,6.8,50,2.0,2.0,100.39,17.643
Acciaio_Inox_304,191596.0,280.9,3.4,24,3.0,2.0,155.35,2.262
Alluminio_6061_T6,71809.1,259.7,7.3,60,0.8,2.0,142.97,9.476
Acciaio_Inox_304,193052.3,298.0,3.2,24,3.0,1.0,110.52,6.861
Acciaio_Inox_304,186622.8,282.4,2.7,20,1.5,1.0,97.99,7.043
Alluminio_5052_H32,70586.7,206.0,7.0,60,1.5,1.5,106.0,20.151
Alluminio_6061_T6,68520.6,254.1,5.7,50,1.5,1.5,104.88,17.049
Acciaio_Inox_304,194320.8,275.5,7.0,60,3.0,1.0,81.9,28.744
Acciaio_Inox_304,198112.6,320.9,7.1,60,4.0,1.5,126.01,13.741
Alluminio_6061_T6,70332.4,273.9,5.3,40,3.0,3.0,122.93,9.397
Alluminio_6061_T6,70780.1,283.5,3.5,24,2.0,2.0,133.8,4.392
Alluminio_6061_T6,67205.2,291.6,5.6,40,1.5,2.0,137.12,7.251
Acciaio_Mite_S235,213779.8,220.7,1.6,12,4.0,2.0,141.33,1.663
Alluminio_6061_T6,70729.4,292.5,1.5,12,0.8,1.5,95.48,4.109
Acciaio_Inox_304,195477.0,306.0,1.2,10,1.5,1.0,145.92,1.417
Alluminio_6061_T6,69834.1,293.7,4.1,32,1.5,2.0,112.59,9.115
Acciaio_Mite_S235,205883.5,235.6,1.4,12,3.0,1.0,90.64,3.706
Acciaio_Mite_S235,210659.5,218.2,3.8,32,1.0,1.0,127.34,7.257
Acciaio_Inox_304,192915.4,253.9,2.8,24,0.8,1.0,89.7,10.187
Alluminio_6061_T6,71389.0,293.6,1.5,12,0.8,3.0,150.22,1.474
Acciaio_Mite_S235,211181.4,268.9,6.2,50,2.0,1.5,141.81,8.057
Acciaio_Inox_304,195448.5,298.4,5.2,40,1.0,1.5,126.32,9.197
Alluminio_5052_H32,69121.3,203.9,1.5,12,0.8,1.5,94.34,4.217
Acciaio_Inox_304,189005.2,278.7,6.3,50,0.8,2.0,96.26,19.349
Acciaio_Mite_S235,217740.7,233.4,1.8,16,1.5,3.0,141.22,2.406
Alluminio_6061_T6,67016.1,279.7,4.6,40,2.0,1.0,140.67,6.672
Alluminio_6061_T6,71309.9,300.9,5.9,50,2.0,2.0,104.95,16.615
Acciaio_Mite_S235,206930.4,243.0,5.7,50,3.0,1.0,93.62,19.911
Alluminio_5052_H32,69299.2,194.5,1.1,8,2.0,2.0,157.72,0.591
Alluminio_6061_T6,68649.1,269.4,8.0,60,3.0,1.5,116.84,16.213
Acciaio_Mite_S235,208278.1,228.7,1.3,10,0.8,1.5,106.59,2.921
Acciaio_Inox_304,191583.5,285.5,3.6,32,1.0,2.0,149.6,4.102
Acciaio_Inox_304,189991.3,307.7,2.8,24,1.5,1.0,116.0,6.525
Alluminio_5052_H32,71841.6,195.1,5.0,40,0.8,1.0,159.93,3.505
Acciaio_Inox_304,193381.9,297.3,1.6,12,1.5,3.0,92.59,3.354
Alluminio_5052_H32,69992.7,215.4,5.7,50,1.5,3.0,148.2,6.711
Acciaio_Mite_S235,208927.5,244.1,2.8,24,2.0,1.5,98.95,8.327
Acciaio_Mite_S235,203998.2,232.5,2.6,20,4.0,3.0,83.14,6.483
Acciaio_Inox_304,195896.9,273.5,5.6,40,1.0,1.5,131.62,8.261
Acciaio_Inox_304,190585.9,329.0,6.6,50,4.0,3.0,145.89,6.975
Alluminio_5052_H32,69199.7,196.2,7.6,60,0.8,2.0,80.37,29.78
Acciaio_Inox_304,191746.6,269.1,4.9,40,3.0,1.5,147.22,5.574
Alluminio_6061_T6,66858.7,287.9,5.9,50,1.0,1.0,98.14,19.047
Acciaio_Inox_304,196023.6,273.5,1.8,16,0.8,2.0,150.12,2.044
Acciaio_Mite_S235,219008.0,240.7,1.2,10,1.5,1.5,158.88,0.933
Acciaio_Mite_S235,210158.5,231.1,2.2,16,1.0,1.5,139.92,2.596
Alluminio_5052_H32,70786.3,198.7,7.6,60,0.8,1.5,145.88,8.688
Alluminio_5052_H32,69500.0,185.9,1.9,16,1.0,1.5,130.33,3.263
Alluminio_5052_H32,68638.6,216.6,3.4,24,2.0,3.0,140.88,3.649
Acciaio_Inox_304,195289.7,263.8,6.1,50,4.0,3.0,145.66,7.164
Alluminio_6061_T6,70305.4,260.5,2.1,16,2.0,2.0,82.15,6.026
Alluminio_6061_T6,69139.0,266.8,3.8,32,1.5,1.0,135.11,6.163
Alluminio_5052_H32,73042.9,197.8,7.6,60,1.5,1.5,119.07,15.889
Acciaio_Inox_304,197969.1,308.2,6.0,50,3.0,2.0,142.18,7.98
Alluminio_5052_H32,66265.5,199.4,1.1,8,0.8,2.0,135.39,1.349
Alluminio_6061_T6,67487.7,275.1,7.8,60,4.0,1.5,127.32,13.394
Alluminio_5052_H32,68099.6,190.8,2.4,20,3.0,3.0,90.41,6.538
Acciaio_Mite_S235,217079.0,231.1,1.3,10,1.5,3.0,101.06,2.428
Alluminio_6061_T6,71485.9,254.6,3.1,24,2.0,1.0,104.38,7.614
Acciaio_Inox_304,193477.8,284.5,3.8,32,2.0,1.5,82.09,14.483
Alluminio_6061_T6,70923.5,271.0,4.6,40,0.8,2.0,147.13,5.624
Alluminio_6061_T6,68271.0,278.7,6.9,60,4.0,2.0,121.28,15.149
Acciaio_Mite_S235,214699.9,222.6,6.5,50,4.0,1.0,111.12,14.77
Acciaio_Inox_304,194265.1,285.5,7.9,60,1.0,3.0,101.53,20.903
Alluminio_5052_H32,67511.6,218.6,7.5,60,1.5,2.0,124.1,14.471
Alluminio_6061_T6,69448.5,256.0,2.2,16,2.0,1.0,139.92,2.433
Acciaio_Inox_304,186314.0,280.2,6.2,50,3.0,1.0,115.14,14.078
Acciaio_Inox_304,193868.9,282.9,1.6,12,2.0,1.5,96.38,3.653
Acciaio_Inox_304,191485.9,285.1,6.7,50,2.0,1.0,135.42,9.45
Acciaio_Mite_S235,207389.6,241.4,7.5,60,3.0,1.0,112.7,17.669
Acciaio_Inox_304,187853.0,317.6,4.9,40,1.5,3.0,158.7,3.6
Alluminio_6061_T6,70397.7,281.4,4.8,40,2.0,1.0,122.33,9.93
Alluminio_5052_H32,69579.6,196.9,2.5,20,0.8,1.5,90.14,8.04
Alluminio_6061_T6,68732.8,295.8,6.2,50,3.0,1.0,133.87,9.778
Acciaio_Mite_S235,214316.6,258.2,4.0,32,1.0,2.0,145.65,4.651
Alluminio_5052_H32,70451.3,210.9,4.7,40,4.0,1.5,91.98,15.284
Acciaio_Mite_S235,211932.8,224.7,3.8,32,3.0,2.0,136.29,5.705
Acciaio_Inox_304,188244.2,309.6,6.3,50,2.0,1.5,117.15,13.66
Acciaio_Mite_S235,211300.9,236.6,5.8,50,1.0,1.5,148.41,6.843
Acciaio_Inox_304,195704.1,297.1,6.0,50,2.0,2.0,106.15,16.243
Alluminio_5052_H32,68341.8,182.1,5.8,50,1.0,1.5,116.02,14.125
Acciaio_Mite_S235,202759.7,231.9,5.3,40,2.0,1.5,130.4,8.357
Alluminio_6061_T6,68012.3,259.3,4.7,40,0.8,1.0,115.11,11.57
Alluminio_5052_H32,71268.6,195.3,6.3,50,1.0,1.5,130.65,10.567
Alluminio_6061_T6,67172.5,294.9,1.1,8,3.0,2.0,86.43,1.455
Acciaio_Inox_304,198054.2,305.4,1.8,16,2.0,1.0,117.8,3.757
Alluminio_6061_T6,66952.5,287.6,1.4,12,4.0,1.5,123.97,2.237
Acciaio_Inox_304,193315.0,309.6,2.9,24,2.0,1.0,100.99,8.029
Alluminio_5052_H32,69075.5,191.5,1.9,16,0.8,1.0,85.69,7.013
Acciaio_Mite_S235,208948.9,236.0,7.9,60,1.5,1.5,102.01,21.028
Alluminio_5052_H32,68990.7,198.1,2.1,16,2.0,2.0,87.42,5.674
Acciaio_Mite_S235,210279.3,243.2,1.7,12,1.5,1.0,135.49,2.155
Alluminio_5052_H32,70100.6,187.7,7.8,60,2.0,1.5,153.14,6.839
Acciaio_Inox_304,189339.0,295.8,1.4,12,4.0,2.0,95.78,2.897
Acciaio_Mite_S235,212726.8,227.4,4.4,32,3.0,1.5,152.26,3.638
Acciaio_Inox_304,192062.8,274.8,5.6,40,3.0,2.0,91.96,15.215
Alluminio_5052_H32,70439.2,184.9,4.4,32,2.0,3.0,83.7,13.135
Alluminio_6061_T6,70262.7,257.8,3.9,32,0.8,1.0,134.22,6.195
Acciaio_Mite_S235,217924.1,236.0,5.9,50,1.5,1.0,153.56,5.669
Alluminio_5052_H32,72588.1,200.9,1.3,10,1.0,1.0,152.37,1.049
Alluminio_5052_H32,73051.5,192.2,1.2,10,1.0,1.0,90.8,3.549
Alluminio_6061_T6,66698.4,305.7,6.3,50,3.0,2.0,137.74,8.943
Alluminio_5052_H32,69579.5,208.1,4.1,32,3.0,1.5,148.75,4.11
Alluminio_5052_H32,69500.6,191.3,2.4,20,4.0,1.0,108.76,5.557
Alluminio_5052_H32,70004.6,189.5,6.4,50,0.8,3.0,116.96,13.42
Alluminio_6061_T6,69933.9,286.6,1.1,8,3.0,1.5,120.94,1.413
Alluminio_5052_H32,73379.1,203.1,4.7,40,2.0,3.0,122.24,9.686
Alluminio_5052_H32,69443.1,190.0,6.3,50,4.0,2.0,92.87,19.102
Alluminio_6061_T6,67282.6,267.7,5.9,50,3.0,2.0,149.8,6.339
Acciaio_Inox_304,198056.8,287.5,7.2,60,3.0,1.0,145.66,8.681
Alluminio_5052_H32,71520.0,171.8,3.1,24,0.8,3.0,114.29,6.297
Acciaio_Mite_S235,205440.7,236.4,2.4,20,4.0,1.0,130.02,3.868
Alluminio_6061_T6,69071.8,280.4,4.3,32,3.0,2.0,114.03,8.561
Alluminio_6061_T6,67929.5,264.4,4.8,40,1.0,2.0,107.76,12.782
Alluminio_5052_H32,70728.8,189.8,4.5,32,3.0,2.0,117.68,7.959
Alluminio_5052_H32,68404.0,205.1,7.7,60,2.0,1.0,142.72,9.614
Alluminio_6061_T6,70088.6,303.8,6.0,50,4.0,1.0,131.42,10.105
Alluminio_5052_H32,67580.0,182.0,2.8,24,4.0,3.0,144.58,3.455
Alluminio_6061_T6,67928.1,275.9,2.1,16,1.0,1.0,87.83,6.456
Acciaio_Mite_S235,207097.8,234.2,2.2,16,2.0,3.0,108.09,4.141
Alluminio_5052_H32,69204.1,198.0,6.9,60,0.8,3.0,119.77,15.633
Acciaio_Mite_S235,216156.1,224.4,7.4,60,1.0,2.0,112.61,17.754
Acciaio_Mite_S235,208911.3,242.0,1.9,16,0.8,3.0,114.64,4.005
Acciaio_Inox_304,192898.4,301.4,4.2,32,1.0,2.0,85.49,13.889
Alluminio_5052_H32,70053.7,197.1,3.9,32,1.0,3.0,144.89,4.703
Alluminio_5052_H32,71304.0,192.8,1.6,12,1.0,1.0,94.08,4.208
Alluminio_5052_H32,67150.6,208.9,1.1,8,1.0,1.0,127.5,1.657
Alluminio_6061_T6,67497.8,268.4,6.8,50,1.5,2.0,141.78,8.149
Alluminio_6061_T6,67861.1,273.0,4.1,32,0.8,3.0,121.89,7.9
Acciaio_Mite_S235,211818.6,238.8,1.6,12,3.0,3.0,144.52,1.447
Acciaio_Mite_S235,208767.1,248.9,1.2,10,1.5,3.0,113.45,2.114
Alluminio_5052_H32,68016.3,182.8,7.5,60,2.0,3.0,148.45,7.909
Acciaio_Inox_304,188066.6,280.4,6.2,50,2.0,1.0,113.39,14.617
Acciaio_Mite_S235,206030.5,240.6,5.3,40,0.8,1.0,100.85,14.364
Alluminio_5052_H32,68586.5,200.9,5.5,40,4.0,3.0,109.18,11.298
Alluminio_6061_T6,69429.3,277.9,3.7,32,3.0,1.0,152.46,3.693
